UKT,NILAI UKT,PENGHASILAN AYAH,PENGHASILAN IBU,TOTAL PENGHASILAN,"Jumlah Anggota Keluarga (Ayah, Ibu dan Anak)",TOTAL PENGHASILAN/JUMLAH ANGGOTA KEL,STATUS AYAH,STATUS IBU,STATUS KIP,STATUS TDK MAMPU,STATUS KKS
3.0,2400000.0,1500000,0,1500000,4.0,375000.0,1,1,0,0,0
3.0,2400000.0,1000000,0,1000000,5.0,200000.0,0,0,0,0,0
4.0,3600000.0,3500000,0,3500000,5.0,700000.0,1,1,0,0,0
2.0,1825000.0,700000,0,700000,6.0,116666.6667,1,1,0,0,0
4.0,3200000.0,3000000,0,3000000,5.0,600000.0,1,1,1,1,1
3.0,2550000.0,1300000,0,1300000,4.0,325000.0,1,1,1,0,0
2.0,1925000.0,1000000,0,1000000,4.0,250000.0,1,1,1,0,1
5.0,3220000.0,2200000,350000,2550000,4.0,637500.0,1,1,1,0,1
3.0,2400000.0,0,1150000,1150000,6.0,191666.6667,1,1,1,1,1
3.0,2400000.0,700000,0,700000,7.0,100000.0,1,1,1,0,1
4.0,2800000.0,2500000,0,2500000,6.0,416666.6667,0,0,0,0,0
3.0,2400000.0,2500000,0,2500000,6.0,416666.6667,1,1,1,0,1
5.0,3220000.0,700000,300000,1000000,6.0,166666.6667,1,1,0,0,1
5.0,4140000.0,1300000,0,1300000,7.0,185714.2857,1,1,1,0,1
2.0,1825000.0,1000000,0,1000000,4.0,250000.0,1,1,1,0,1
2.0,1925000.0,1000000,300000,1300000,6.0,216666.6667,1,1,0,0,0
2.0,2000000.0,2000000,0,2000000,5.0,400000.0,1,1,1,0,1
2.0,1825000.0,2000000,0,2000000,5.0,400000.0,1,1,0,0,0
3.0,2400000.0,500000,0,500000,5.0,100000.0,0,0,0,0,0
4.0,3200000.0,700000,0,700000,4.0,175000.0,1,1,0,0,1
3.0,2400000.0,2000000,0,2000000,4.0,500000.0,1,1,1,0,0
2.0,1925000.0,500000,0,500000,7.0,71428.57143,1,1,1,0,0
1.0,400000.0,100000,0,100000,5.0,20000.0,1,1,1,0,0
2.0,1825000.0,1000000,0,1000000,6.0,166666.6667,1,1,1,0,1
2.0,1825000.0,1000000,0,1000000,9.0,111111.1111,1,1,0,0,0
2.0,1825000.0,1500000,0,1500000,5.0,300000.0,1,1,1,0,0
2.0,1925000.0,0,0,0,5.0,0.0,0,0,0,0,0
3.0,2400000.0,1500000,0,1500000,4.0,375000.0,0,0,0,0,0
2.0,1825000.0,2000000,0,2000000,6.0,333333.3333,1,1,1,0,1
2.0,1825000.0,1000000,0,1000000,4.0,250000.0,1,0,1,0,1
3.0,2550000.0,700000,200000,900000,7.0,128571.4286,1,1,1,0,0
3.0,2600000.0,500000,0,500000,4.0,125000.0,1,1,1,0,1
2.0,1925000.0,0,1000000,1000000,4.0,250000.0,0,1,1,0,1
4.0,2800000.0,1600000,0,1600000,5.0,320000.0,1,1,1,1,1
2.0,2000000.0,2800000,0,2800000,6.0,466666.6667,1,1,0,0,1
2.0,1825000.0,1500000,1500000,3000000,4.0,750000.0,1,1,1,0,0
4.0,2800000.0,2300000,0,2300000,5.0,460000.0,1,1,1,0,1
2.0,2000000.0,800000,0,800000,5.0,160000.0,1,1,0,0,0
3.0,2750000.0,800000,0,800000,3.0,266666.6667,1,1,1,0,0
3.0,2600000.0,1000000,0,1000000,5.0,200000.0,0,0,0,0,0
4.0,2800000.0,750000,0,750000,5.0,150000.0,0,0,0,0,0
2.0,2250000.0,1500000,0,1500000,3.0,500000.0,1,1,0,0,0
2.0,1825000.0,1200000,0,1200000,7.0,171428.5714,0,0,0,0,0
4.0,3600000.0,2000000,0,2000000,6.0,333333.3333,1,1,0,0,0
2.0,1825000.0,0,0,0,4.0,0.0,0,0,0,0,0
2.0,1925000.0,1500000,0,1500000,6.0,250000.0,1,1,0,0,0
2.0,2000000.0,1500000,0,1500000,4.0,375000.0,1,1,0,0,0
2.0,1925000.0,1000000,0,1000000,1.0,1000000.0,0,0,0,0,0
2.0,1925000.0,500000,0,500000,4.0,125000.0,0,0,0,0,0
4.0,2800000.0,1500000,0,1500000,4.0,375000.0,1,1,0,0,0
4.0,3200000.0,0,0,0,4.0,0.0,1,1,1,0,0
2.0,1925000.0,2000000,0,2000000,4.0,500000.0,1,1,0,0,0
4.0,2800000.0,1000000,0,1000000,4.0,250000.0,1,1,0,0,1
4.0,2800000.0,2000000,0,2000000,5.0,400000.0,1,1,1,0,0
3.0,2600000.0,3000000,0,3000000,5.0,600000.0,1,1,1,0,1
1.0,400000.0,1000000,0,1000000,9.0,111111.1111,0,0,0,0,0
2.0,1925000.0,1000000,500000,1500000,6.0,250000.0,1,1,0,0,0
3.0,2400000.0,700000,0,700000,4.0,175000.0,0,0,0,0,0
1.0,400000.0,500000,500000,1000000,5.0,200000.0,1,1,1,1,1
1.0,400000.0,400000,700000,1100000,4.0,275000.0,1,1,0,0,1
2.0,1825000.0,0,0,0,7.0,0.0,1,1,1,1,1
1.0,400000.0,850000,0,850000,5.0,170000.0,0,1,0,0,0
3.0,2400000.0,1000000,0,1000000,4.0,250000.0,1,1,1,0,1
3.0,2400000.0,500000,0,500000,5.0,100000.0,1,1,0,0,0
2.0,1925000.0,1500000,0,1500000,4.0,375000.0,1,1,1,0,0
1.0,400000.0,0,800000,800000,8.0,100000.0,0,1,0,0,0
1.0,400000.0,0,0,0,6.0,0.0,0,1,0,0,0
2.0,1825000.0,1500000,0,1500000,6.0,250000.0,1,1,0,0,0
3.0,2600000.0,1000000,600000,1600000,6.0,266666.6667,1,1,0,0,0
4.0,2800000.0,1500000,0,1500000,5.0,300000.0,1,1,0,0,1
2.0,1825000.0,1000000,0,1000000,4.0,250000.0,1,1,1,0,1
1.0,400000.0,0,0,0,3.0,0.0,0,0,1,0,0
3.0,2400000.0,1000000,0,1000000,6.0,166666.6667,1,1,1,0,1
1.0,400000.0,0,500000,500000,4.0,125000.0,0,1,0,0,1
3.0,2400000.0,500000,200000,700000,5.0,140000.0,1,1,1,1,1
3.0,2400000.0,3000000,0,3000000,5.0,600000.0,1,1,1,1,1
3.0,2400000.0,1000000,0,1000000,4.0,250000.0,1,1,0,0,0
1.0,400000.0,0,1000000,1000000,11.0,90909.09091,0,1,0,0,0
2.0,1825000.0,1000000,0,1000000,8.0,125000.0,1,1,0,0,1
2.0,1925000.0,1000000,0,1000000,6.0,166666.6667,1,1,1,0,1
3.0,2400000.0,1050000,0,1050000,10.0,105000.0,0,0,1,0,0
4.0,3200000.0,1500000,0,1500000,6.0,250000.0,1,1,0,0,0
3.0,2900000.0,2500000,0,2500000,5.0,500000.0,0,0,0,0,0
1.0,400000.0,300000,0,300000,6.0,50000.0,0,1,1,0,1
4.0,3200000.0,3000000,1500000,4500000,4.0,1125000.0,1,1,1,0,1
3.0,2400000.0,1500000,0,1500000,5.0,300000.0,1,1,1,0,1
4.0,2800000.0,2000000,0,2000000,4.0,500000.0,1,1,1,0,0
3.0,2600000.0,2500000,0,2500000,5.0,500000.0,1,1,1,0,1
3.0,2400000.0,0,500000,500000,4.0,125000.0,0,1,0,0,0
3.0,2750000.0,1500000,0,1500000,5.0,300000.0,1,1,1,0,1
3.0,2400000.0,1000000,0,1000000,5.0,200000.0,1,1,0,0,0
3.0,2600000.0,1200000,0,1200000,5.0,240000.0,1,1,0,0,0
3.0,2400000.0,0,750000,750000,3.0,250000.0,0,1,1,0,1
2.0,1825000.0,1500000,500000,2000000,6.0,333333.3333,1,1,1,0,0
6.0,4800000.0,4981200,0,4981200,6.0,830200.0,1,1,1,1,1
1.0,400000.0,500000,0,500000,5.0,100000.0,1,1,0,0,0
1.0,400000.0,1500000,0,1500000,6.0,250000.0,1,1,1,0,0
2.0,1925000.0,1500000,0,1500000,5.0,300000.0,1,1,0,0,0
4.0,2800000.0,1000000,0,1000000,5.0,200000.0,1,1,1,0,1
3.0,2400000.0,2500000,0,2500000,5.0,500000.0,1,1,0,0,0
3.0,2400000.0,800000,0,800000,6.0,133333.3333,1,1,1,0,1
2.0,1900000.0,1000000,500000,1500000,5.0,300000.0,1,1,1,0,1
4.0,2800000.0,1500000,0,1500000,3.0,500000.0,0,0,0,0,0
3.0,2400000.0,0,500000,500000,8.0,62500.0,0,1,0,0,0
3.0,2400000.0,950000,0,950000,5.0,190000.0,1,1,1,0,0
